location,target_end_date,quantile,value,forecast_date,target,type
1,2023-05-14,0.45,23.53042495,2023-05-08,13 day ahead inc hosp,quantile
1,2023-05-14,0.5,24.7055733,2023-05-08,13 day ahead inc hosp,quantile
1,2023-05-14,0.55,26.09918045,2023-05-08,13 day ahead inc hosp,quantile
1,2023-05-14,0.6,28.34475701,2023-05-08,13 day ahead inc hosp,quantile
1,2023-05-14,0.65,30.54940965,2023-05-08,13 day ahead inc hosp,quantile
1,2023-05-14,0.7,32.34254759,2023-05-08,13 day ahead inc hosp,quantile
1,2023-05-14,0.75,34.63874675,2023-05-08,13 day ahead inc hosp,quantile
1,2023-05-14,0.8,37.16079995,2023-05-08,13 day ahead inc hosp,quantile
1,2023-05-14,0.85,40.60667574,2023-05-08,13 day ahead inc hosp,quantile
1,2023-05-14,0.9,45.08770612,2023-05-08,13 day ahead inc hosp,quantile
1,2023-05-14,0.95,54.25098887,2023-05-08,13 day ahead inc hosp,quantile
1,2023-05-14,0.975,63.20877334,2023-05-08,13 day ahead inc hosp,quantile
1,2023-05-14,0.99,77.61332659,2023-05-08,13 day ahead inc hosp,quantile
1,2023-05-15,0.01,1.139463014,2023-05-08,14 day ahead inc hosp,quantile
1,2023-05-15,0.025,2.745341977,2023-05-08,14 day ahead inc hosp,quantile
1,2023-05-15,0.05,7.436176993,2023-05-08,14 day ahead inc hosp,quantile
1,2023-05-15,0.1,11.7750151,2023-05-08,14 day ahead inc hosp,quantile
1,2023-05-15,0.15,14.48824837,2023-05-08,14 day ahead inc hosp,quantile
1,2023-05-15,0.2,16.24547553,2023-05-08,14 day ahead inc hosp,quantile
1,2023-05-15,0.25,18.04997854,2023-05-08,14 day ahead inc hosp,quantile
1,2023-05-15,0.3,19.31388183,2023-05-08,14 day ahead inc hosp,quantile
1,2023-05-15,0.35,20.86115005,2023-05-08,14 day ahead inc hosp,quantile
1,2023-05-15,0.4,22.09156869,2023-05-08,14 day ahead inc hosp,quantile
1,2023-05-15,0.45,23.72438726,2023-05-08,14 day ahead inc hosp,quantile
1,2023-05-15,0.5,24.86034952,2023-05-08,14 day ahead inc hosp,quantile
1,2023-05-15,0.55,26.50725646,2023-05-08,14 day ahead inc hosp,quantile
1,2023-05-15,0.6,28.50582413,2023-05-08,14 day ahead inc hosp,quantile
1,2023-05-15,0.65,30.41580123,2023-05-08,14 day ahead inc hosp,quantile
1,2023-05-15,0.7,32.88954262,2023-05-08,14 day ahead inc hosp,quantile
1,2023-05-15,0.75,35.21738682,2023-05-08,14 day ahead inc hosp,quantile
1,2023-05-15,0.8,37.89317322,2023-05-08,14 day ahead inc hosp,quantile
1,2023-05-15,0.85,41.13503409,2023-05-08,14 day ahead inc hosp,quantile
1,2023-05-15,0.9,47.19715634,2023-05-08,14 day ahead inc hosp,quantile
1,2023-05-15,0.95,55.85972435,2023-05-08,14 day ahead inc hosp,quantile
1,2023-05-15,0.975,65.71733336,2023-05-08,14 day ahead inc hosp,quantile
1,2023-05-15,0.99,73.77379219,2023-05-08,14 day ahead inc hosp,quantile
1,2023-05-16,0.01,1.088570624,2023-05-08,15 day ahead inc hosp,quantile
1,2023-05-16,0.025,2.251909375,2023-05-08,15 day ahead inc hosp,quantile
1,2023-05-16,0.05,7.24266358,2023-05-08,15 day ahead inc hosp,quantile
1,2023-05-16,0.1,11.14294433,2023-05-08,15 day ahead inc hosp,quantile
1,2023-05-16,0.15,13.97145333,2023-05-08,15 day ahead inc hosp,quantile
1,2023-05-16,0.2,16.11435536,2023-05-08,15 day ahead inc hosp,quantile
1,2023-05-16,0.25,18.03783299,2023-05-08,15 day ahead inc hosp,quantile
1,2023-05-16,0.3,19.7001233,2023-05-08,15 day ahead inc hosp,quantile
